Words,counts
"('ang', 'mga')",13110
"('ako', 'sa')",10966
"('na', 'lang')",9863
"('hindi', 'ko')",9339
"('ko', 'na')",9103
"('sa', 'akin')",8825
"('ng', 'mga')",7740
"('ko', 'ang')",7435
"('sa', 'kaniya')",7418
"('na', 'ang')",7387
"('sa', 'mga')",7075
"('ko', 'sa')",5939
"('niya', 'ang')",5739
"('siya', 'sa')",5231
"('ako', 'ng')",5090
"('dahil', 'sa')",4742
"('na', 'ako')",4543
"('na', 'rin')",4459
"('pa', 'rin')",4387
"('hindi', 'na')",4348
"('ang', 'kaniyang')",4345
"('lang', 'ako')",4239
"('sa', 'kanya')",4147
"('mga', 'mata')",4094
"('ang', 'aking')",3832
"('sa', 'kaniyang')",3651
"('niya', 'sa')",3539
"('lang', 'ang')",3416
"('ko', 'at')",3192
"('ang', 'lahat')",3079
"('na', 'siya')",3070
"('tanong', 'ni')",3007
"('siya', 'ng')",2952
"('na', 'si')",2891
"('sa', 'aking')",2865
"('pa', 'ni')",2832
"('naman', 'ang')",2815
"('ka', 'na')",2801
"('sa', 'loob')",2760
"('lahat', 'ng')",2754
"('ako', 'nang')",2712
"('ito', 'sa')",2708
"('na', 'sa')",2704
"('sa', 'kanila')",2600
"('rin', 'ang')",2599
"('naman', 'ako')",2592
"('na', 'hindi')",2567
"('hindi', 'niya')",2520
"('hindi', 'ako')",2461
"('ko', 'pa')",2452
"('sabi', 'ni')",2428
"('naman', 'si')",2424
"('hindi', 'naman')",2390
"('na', 'ito')",2382
"('sabi', 'ko')",2371
"('mula', 'sa')",2314
"('ako', 'at')",2285
"('hindi', 'pa')",2285
"('mo', 'na')",2262
"('ni', 'don')",2234
"('sa', 'isang')",2210
"('ang', 'isang')",2203
"('ng', 'isang')",2197
"('kung', 'saan')",2172
"('ay', 'hindi')",2167
"('tanong', 'ko')",2160
"('at', 'ang')",2157
"('niya', 'at')",2091
"('niya', 'na')",2073
"('at', 'hindi')",2056
"('na', 'may')",2039
"('ko', 'siya')",2013
"('na', 'niya')",2007
"('kami', 'sa')",1987
"('para', 'sa')",1962
"('niya', 'ako')",1939
"('ko', 'lang')",1919
"('ngayon', 'ay')",1918
"('ang', 'kanyang')",1880
"('loob', 'ng')",1875
"('na', 'ngayon')",1858
"('sa', 'amin')",1849
"('pa', 'ang')",1837
"('kung', 'bakit')",1759
"('ko', 'alam')",1752
"('na', 'naman')",1739
"('pero', 'hindi')",1716
"('sa', 'kanyang')",1701
"('nang', 'makita')",1700
"('saad', 'ni')",1696
"('ng', 'kaniyang')",1656
"('sa', 'labas')",1652
"('na', 'iyon')",1650
"('ng', 'tingin')",1643
"('ko', 'naman')",1640
"('hanggang', 'sa')",1630
"('lang', 'siya')",1611
"('ko', 'ay')",1595
"('i', 'dont')",1585
"('alam', 'kung')",1582
"('ko', 'nang')",1574
"('wala', 'na')",1540
"('ko', 'si')",1536
"('sa', 'likod')",1528
"('na', 'kami')",1512
"('ang', 'tingin')",1501
"('si', 'don')",1491
"('din', 'ang')",1476
"('ang', 'kamay')",1470
"('ni', 'nikolas')",1464
"('kung', 'kayat')",1439
"('na', 'nasa')",1428
"('sabi', 'niya')",1407
"('alam', 'kong')",1405
"('dahilan', 'para')",1394
"('lang', 'sa')",1390
"('papunta', 'sa')",1386
"('tugon', 'ni')",1382
"('ni', 'martin')",1379
"('hindi', 'mo')",1367
"('dito', 'sa')",1367
"('ilang', 'sandali')",1364
"('ko', 'ng')",1353
"('i', 'am')",1352
"('of', 'the')",1352
"('siya', 'at')",1351
"('hindi', 'ka')",1350
"('naman', 'ay')",1341
"('na', 'siyang')",1338
"('mata', 'ko')",1337
"('ngayon', 'sa')",1333
"('ako', 'kay')",1333
"('ako', 'na')",1328
"('sa', 'kanilang')",1318
"('niya', 'pa')",1309
"('hindi', 'siya')",1303
"('na', 'ng')",1288
"('are', 'you')",1279
"('ni', 'salome')",1277
"('naman', 'siya')",1272
"('na', 'nga')",1272
"('sila', 'sa')",1271
"('ba', 'ang')",1269
