Words,counts
"('na', 'lang', 'ako')",2230
"('sa', 'loob', 'ng')",1637
"('hindi', 'ko', 'na')",1587
"('ang', 'mga', 'mata')",1586
"('hindi', 'ko', 'alam')",1566
"('ko', 'na', 'lang')",1208
"('ang', 'lahat', 'ng')",1161
"('ilang', 'sandali', 'pa')",1135
"('na', 'ngayon', 'ay')",1036
"('lang', 'ako', 'sa')",1024
"('ko', 'alam', 'kung')",968
"('ko', 'na', 'ang')",956
"('na', 'lang', 'ang')",933
"('mga', 'mata', 'ko')",923
"('na', 'ako', 'sa')",915
"('hindi', 'pa', 'rin')",809
"('na', 'rin', 'ang')",806
"('niya', 'sa', 'akin')",802
"('sa', 'tapat', 'ng')",801
"('ko', 'sa', 'kanya')",782
"('ako', 'sa', 'kaniya')",781
"('ko', 'sa', 'kaniya')",777
"('pa', 'rin', 'ang')",764
"('sa', 'mga', 'mata')",724
"('sa', 'akin', 'ang')",674
"('kaniyang', 'mga', 'mata')",672
"('na', 'ang', 'mga')",648
"('kung', 'ano', 'ang')",647
"('sa', 'pagkakataong', 'iyon')",634
"('sa', 'labas', 'ng')",632
"('hindi', 'na', 'ako')",630
"('na', 'niya', 'ang')",609
"('ang', 'kaniyang', 'mga')",585
"('sa', 'akin', 'si')",585
"('nanlaki', 'ang', 'mga')",579
"('napatingin', 'ako', 'sa')",576
"('sa', 'likod', 'ng')",568
"('ko', 'ang', 'mga')",565
"('sa', 'akin', 'at')",559
"('na', 'lang', 'si')",558
"('ang', 'mga', 'ito')",555
"('sa', 'kaniya', 'at')",552
"('sa', 'kaniya', 'ang')",548
"('sa', 'gitna', 'ng')",546
"('sa', 'oras', 'na')",539
"('naman', 'ako', 'sa')",524
"('ang', 'kamay', 'ko')",521
"('sa', 'kaniya', 'si')",521
"('i', 'dont', 'know')",520
"('pero', 'hindi', 'ko')",519
"('na', 'lang', 'siya')",519
"('na', 'siya', 'sa')",512
"('ng', 'diretso', 'sa')",506
"('nagulat', 'ako', 'nang')",500
"('siya', 'sa', 'akin')",500
"('sa', 'gilid', 'ng')",498
"('nang', 'makita', 'ang')",495
"('sa', 'akin', 'ni')",495
"('mga', 'mata', 'ni')",491
"('sa', 'sinabi', 'niya')",473
"('ang', 'mga', 'tao')",473
"('ako', 'sa', 'kanya')",470
"('ni', 'don', 'alejandro')",467
"('kung', 'sino', 'ang')",465
"('ko', 'ang', 'aking')",456
"('ako', 'sa', 'aking')",443
"('ang', 'aking', 'mga')",442
"('hindi', 'na', 'niya')",441
"('na', 'rin', 'ako')",434
"('hindi', 'ko', 'pa')",431
"('na', 'kami', 'sa')",428
"('niya', 'ang', 'kaniyang')",426
"('na', 'lang', 'sa')",426
"('ang', 'tingin', 'ko')",426
"('tanong', 'ko', 'sa')",425
"('na', 'hindi', 'ko')",422
"('i', 'want', 'to')",420
"('na', 'ako', 'ng')",417
"('lang', 'ako', 'ng')",402
"('patuloy', 'pa', 'ni')",402
"('ako', 'sa', 'mga')",400
"('ko', 'hindi', 'ko')",400
"('na', 'tanong', 'ni')",399
"('at', 'dahil', 'dun')",396
"('sa', 'kaniyang', 'mga')",395
"('hindi', 'na', 'natapos')",387
"('hindi', 'ko', 'naman')",379
"('sabi', 'ko', 'sa')",379
"('ng', 'mga', 'tao')",378
"('ko', 'na', 'rin')",377
"('at', 'hindi', 'na')",376
"('niya', 'ang', 'mga')",374
"('ay', 'hindi', 'na')",373
"('sandali', 'pa', 'ay')",372
"('pa', 'rin', 'ako')",371
"('na', 'sabi', 'ni')",370
"('pa', 'rin', 'sa')",369
"('mga', 'mata', 'niya')",369
"('hindi', 'ko', 'rin')",365
"('ko', 'pa', 'rin')",365
"('wala', 'na', 'akong')",361
"('alam', 'kung', 'bakit')",361
"('na', 'lang', 'din')",360
"('at', 'hindi', 'ko')",358
"('napatingin', 'ako', 'kay')",357
"('pa', 'rin', 'siya')",357
"('ang', 'kanilang', 'mga')",356
"('ko', 'dahil', 'sa')",352
"('sa', 'lahat', 'ng')",352
"('ang', 'noo', 'ko')",351
"('i', 'love', 'you')",344
"('aking', 'mga', 'mata')",344
"('ni', 'madam', 'olivia')",341
"('ay', 'hindi', 'ko')",341
"('ang', 'sarili', 'ko')",340
"('hindi', 'naman', 'ako')",339
"('na', 'ang', 'lahat')",339
"('ng', 'puso', 'ko')",337
"('ako', 'ng', 'malalim')",335
"('i', 'need', 'to')",332
"('ang', 'tingin', 'sa')",332
"('tugon', 'pa', 'ni')",332
"('ang', 'mga', 'luha')",331
"('hindi', 'na', 'siya')",330
"('ng', 'mga', 'ito')",330
"('ng', 'mga', 'guardia')",328
"('ko', 'na', 'siya')",326
"('naman', 'ang', 'mga')",325
"('magsasalita', 'pa', 'sana')",325
"('na', 'rin', 'sa')",324
"('ang', 'puso', 'ko')",323
"('habang', 'nakatingin', 'sa')",321
"('na', 'sana', 'ako')",320
"('oo', 'nga', 'pala')",319
"('sa', 'ilalim', 'ng')",319
"('na', 'natapos', 'ni')",319
"('sa', 'tabi', 'ko')",316
"('sa', 'tingin', 'ko')",315
"('isa', 'sa', 'mga')",310
"('sa', 'kaniya', 'na')",310
"('si', 'don', 'alejandro')",309
"('ni', 'sir', 'nathan')",307
"('ang', 'kamay', 'niya')",306
"('ako', 'nang', 'biglang')",306
"('ramdam', 'ko', 'ang')",301
"('sa', 'san', 'alfonso')",301
"('ko', 'sa', 'kanila')",300
"('lang', 'ako', 'at')",299
"('kumunot', 'ang', 'noo')",298
"('mga', 'guardia', 'civil')",297
"('na', 'naman', 'ang')",297
"('lang', 'siya', 'sa')",294
"('sa', 'akin', 'na')",293
"('hindi', 'ko', 'siya')",291
"('mabuti', 'na', 'lang')",289
"('napahinga', 'na', 'lang')",289
"('sa', 'totoo', 'lang')",288
"('ang', 'kanyang', 'mga')",286
"('mga', 'oras', 'na')",285
"('ko', 'alam', 'pero')",283
"('buti', 'na', 'lang')",282
"('si', 'celestina', 'sa')",282
"('na', 'para', 'bang')",280
"('mo', 'na', 'lang')",280
"('pa', 'ni', 'nikolas')",278
"('sa', 'kanya', 'at')",277
"('ng', 'san', 'alfonso')",276
"('sa', 'isipan', 'ko')",275
"('nang', 'marinig', 'ang')",274
"('pagkakataong', 'iyon', 'ay')",273
"('si', 'sir', 'nathan')",273
"('in', 'front', 'of')",273
"('i', 'dont', 'want')",271
"('na', 'hindi', 'na')",270
"('ng', 'malalim', 'si')",270
"('napatigil', 'ako', 'nang')",270
"('dahil', 'sa', 'sinabi')",268
"('sa', 'kanya', 'ang')",267
"('dahilan', 'kung', 'bakit')",267
"('ako', 'sa', 'sinabi')",266
"('narinig', 'ko', 'ang')",265
"('nakita', 'ko', 'ang')",265
"('mga', 'tao', 'sa')",265
"('hindi', 'man', 'lang')",264
"('si', 'salome', 'sa')",264
"('hindi', 'na', 'rin')",263
"('sa', 'harap', 'ng')",261
"('ni', 'don', 'amadeo')",261
"('sa', 'mukha', 'niya')",261
"('napapikit', 'na', 'lang')",258
"('nang', 'makita', 'ko')",257
"('na', 'gawa', 'sa')",257
"('kahit', 'papaano', 'ay')",257
"('ang', 'lahat', 'sa')",256
"('alam', 'ko', 'na')",256
"('ako', 'nang', 'malalim')",254
"('ako', 'nang', 'makita')",254
"('sa', 'lugar', 'na')",254
"('mata', 'ko', 'nang')",253
"('ako', 'ng', 'tingin')",253
"('ako', 'na', 'ang')",251
"('ngayon', 'ko', 'lang')",249
"('diretso', 'sa', 'mga')",248
"('sa', 'sinabi', 'ko')",246
"('na', 'rin', 'siya')",246
"('sa', 'tabi', 'ng')",246
"('sa', 'harapan', 'ko')",246
"('si', 'martin', 'sa')",246
"('ko', 'siya', 'ng')",244
"('mga', 'mata', 'at')",244
"('napatigil', 'siya', 'nang')",244
"('sa', 'bahay', 'nila')",243
"('ka', 'na', 'lang')",240
"('na', 'ito', 'sa')",239
"('na', 'ako', 'at')",239
"('nang', 'makita', 'si')",239
"('na', 'siya', 'ng')",238
"('ko', 'nang', 'makita')",237
"('din', 'ako', 'sa')",237
"('what', 'do', 'you')",237
"('hindi', 'ko', 'namalayan')",235
"('sa', 'kwarto', 'ko')",234
"('ang', 'sasabihin', 'niya')",234
"('tingin', 'ko', 'sa')",233
"('sa', 'isat', 'isa')",233
"('sabi', 'ko', 'at')",233
"('ni', 'salome', 'ang')",232
"('nang', 'biglang', 'may')",231
"('ang', 'kamay', 'ni')",230
"('napatingin', 'naman', 'ako')",230
"('ko', 'sa', 'mga')",230
"('napangiti', 'naman', 'si')",230
"('siya', 'sa', 'mga')",229
"('ng', 'tingin', 'ang')",229
"('at', 'ang', 'mga')",228
"('wala', 'naman', 'akong')",228
"('ako', 'ng', 'mga')",228
"('ko', 'namalayan', 'na')",227
"('na', 'rin', 'si')",227
"('napatingin', 'sa', 'kaniya')",226
"('rin', 'ang', 'mga')",226
"('nang', 'dahil', 'sa')",226
"('sa', 'sarili', 'ko')",226
"('sabi', 'pa', 'ni')",226
"('mo', 'sa', 'akin')",226
"('sa', 'sinabi', 'ni')",226
"('bigla', 'na', 'lang')",225
"('siya', 'sa', 'kaniyang')",225
"('dont', 'want', 'to')",225
"('pumasok', 'sa', 'loob')",225
"('a', 'lot', 'of')",223
"('nang', 'marinig', 'ko')",223
"('ang', 'mata', 'ko')",223
"('mas', 'lalo', 'akong')",223
"('looked', 'at', 'me')",222
"('siya', 'nga', 'pala')",221
"('mga', 'luha', 'ko')",221
"('why', 'are', 'you')",221
"('dahil', 'hindi', 'ko')",219
"('dahil', 'sa', 'mga')",219
"('ang', 'mga', 'taong')",219
"('papalapit', 'sa', 'kaniya')",219
"('nagtatakang', 'tanong', 'ni')",218
"('ko', 'rin', 'ang')",217
"('mo', 'na', 'ang')",217
"('na', 'lang', 'at')",216
"('loob', 'ng', 'bahay')",216
"('ang', 'kaniyang', 'sasabihin')",216
"('ni', 'don', 'facundo')",216
"('alam', 'kung', 'ano')",215
"('marinig', 'ko', 'ang')",215
"('lahat', 'ng', 'mga')",215
"('sabi', 'niya', 'sa')",214
"('sa', 'aking', 'mga')",214
"('ang', 'mga', 'bata')",214
"('rin', 'ako', 'sa')",213
"('ang', 'noo', 'ni')",213
"('sa', 'kaniya', 'hindi')",213
"('sa', 'susunod', 'na')",213
"('hinawakan', 'niya', 'ang')",213
"('sa', 'kanilang', 'dalawa')",211
"('ko', 'na', 'natapos')",210
"('na', 'niya', 'ako')",209
"('ang', 'mukha', 'niya')",208
"('alam', 'kong', 'hindi')",207
"('ng', 'mga', 'mata')",207
"('ko', 'naman', 'ang')",207
"('tibok', 'ng', 'puso')",207
"('kinuha', 'ko', 'ang')",207
"('ni', 'madam', 'costellanos')",206
"('ang', 'ulo', 'ko')",206
"('na', 'iyon', 'ay')",205
"('sa', 'buong', 'paligid')",204
"('ang', 'buhok', 'ko')",204
"('sabi', 'pa', 'niya')",204
"('na', 'rin', 'niya')",203
"('si', 'madam', 'olivia')",203
"('sa', 'kamay', 'ko')",202
"('na', 'lamang', 'ako')",202
"('don', 'alejandro', 'at')",202
"('ni', 'martin', 'ang')",202
"('niya', 'ako', 'ng')",202
"('naman', 'ako', 'ng')",201
"('hindi', 'niya', 'alam')",201
"('sa', 'kanyang', 'mga')",201
"('hindi', 'naman', 'siya')",201
"('ako', 'dahil', 'sa')",200
"('siya', 'ng', 'mga')",200
"('ko', 'na', 'sa')",200
"('si', 'salome', 'at')",200
"('ang', 'pinto', 'at')",200
"('sa', 'akin', 'ng')",200
"('na', 'lang', 'dahil')",199
"('si', 'nikolas', 'at')",199
"('ang', 'mukha', 'ni')",199
"('at', 'mabilis', 'na')",199
"('ni', 'nikolas', 'ang')",199
"('rin', 'siya', 'sa')",198
"('ang', 'ngiti', 'sa')",198
"('natawa', 'na', 'lang')",198
"('ang', 'mga', 'gamit')",198
"('na', 'lang', 'na')",197
"('sa', 'likod', 'ko')",197
"('tumango', 'na', 'lang')",197
"('niya', 'ako', 'sa')",197
"('na', 'ngayon', 'ang')",197
"('ang', 'buong', 'paligid')",196
"('pakiramdam', 'ko', 'ay')",196
"('bumukas', 'ang', 'pinto')",196
"('na', 'hindi', 'niya')",195
"('nakatingin', 'sa', 'akin')",195
"('tingin', 'ko', 'ay')",195
"('ang', 'kaniyang', 'kamay')",195
"('alam', 'kung', 'anong')",194
"('sa', 'tabi', 'ni')",194
"('ni', 'don', 'matias')",194
"('kung', 'kayat', 'hindi')",194
"('na', 'nakatayo', 'sa')",193
"('lang', 'ako', 'nang')",192
"('ako', 'ngayon', 'sa')",192
"('ko', 'ang', 'isang')",192
"('sa', 'ibabaw', 'ng')",191
"('i', 'looked', 'at')",191
"('ay', 'hindi', 'niya')",191
"('ngunit', 'hindi', 'ko')",191
"('si', 'juanito', 'at')",191
"('kaniyang', 'sasabihin', 'dahil')",191
